timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726032809971,90,HTTP POST Request,200,OK,Load Simulation 1-40,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,90,0,50
1726032810072,92,HTTP POST Request,200,OK,Load Simulation 1-41,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,92,0,54
1726032810172,88,HTTP POST Request,200,OK,Load Simulation 1-42,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,87,0,49
1726032810273,85,HTTP POST Request,200,OK,Load Simulation 1-43,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,85,0,47
1726032810373,98,HTTP POST Request,200,OK,Load Simulation 1-44,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,97,0,55
1726032810473,87,HTTP POST Request,200,OK,Load Simulation 1-45,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,86,0,48
1726032810572,93,HTTP POST Request,200,OK,Load Simulation 1-46,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,92,0,53
1726032810672,95,HTTP POST Request,200,OK,Load Simulation 1-47,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,94,0,56
1726032810773,86,HTTP POST Request,200,OK,Load Simulation 1-48,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,86,0,47
1726032810870,82,HTTP POST Request,200,OK,Load Simulation 1-49,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,82,0,45
1726032810970,98,HTTP POST Request,200,OK,Load Simulation 1-50,text,true,,352,564,1,1,https://lapor.folkatech.com/api/report,98,0,57
1726032811072,91,HTTP POST Request,200,OK,Load Simulation 1-51,text,true,,351,564,1,1,https://lapor.folkatech.com/api/report,89,0,50
1726032811172,95,HTTP POST Request,200,OK,Load Simulation 1-52,text,true,,351,564,1,1,https://lapor.folkatech.com/api/report,94,0,55
1726032811270,95,HTTP POST Request,200,OK,Load Simulation 1-53,text,true,,351,564,1,1,https://lapor.folkatech.com/api/report,95,0,57
1726032811370,91,HTTP POST Request,200,OK,Load Simulation 1-54,text,true,,351,564,1,1,https://lapor.folkatech.com/api/report,90,0,49
1726032811473,102,HTTP POST Request,200,OK,Load Simulation 1-55,text,true,,351,564,2,2,https://lapor.folkatech.com/api/report,102,0,62
1726032811571,88,HTTP POST Request,200,OK,Load Simulation 1-56,text,true,,351,564,1,1,https://lapor.folkatech.com/api/report,87,0,53
1726032811674,86,HTTP POST Request,200,OK,Load Simulation 1-57,text,true,,351,564,1,1,https://lapor.folkatech.com/api/report,85,0,49
1726032811771,99,HTTP POST Request,200,OK,Load Simulation 1-58,text,true,,351,564,1,1,https://lapor.folkatech.com/api/report,99,0,54
1726032811873,90,HTTP POST Request,200,OK,Load Simulation 1-59,text,true,,351,564,1,1,https://lapor.folkatech.com/api/report,89,0,52
1726032811971,90,HTTP POST Request,200,OK,Load Simulation 1-60,text,true,,351,564,1,1,https://lapor.folkatech.com/api/report,89,0,53
1726032812070,88,HTTP POST Request,429,Too Many Requests,Load Simulation 1-61,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,87,0,54
1726032812174,90,HTTP POST Request,429,Too Many Requests,Load Simulation 1-62,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,89,0,55
1726032812273,86,HTTP POST Request,429,Too Many Requests,Load Simulation 1-63,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,86,0,52
1726032812372,89,HTTP POST Request,429,Too Many Requests,Load Simulation 1-64,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,89,0,54
1726032812474,89,HTTP POST Request,429,Too Many Requests,Load Simulation 1-65,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,88,0,57
